Shipment Name,"OBL No. ","Status ",CONTRACT NO.," PI NO."," PI VALUE ","INVOICE NO. "," FCLs Goods","Shipping line "," ETD"," ETA","S. Price ","GROSS WEIGHT   ","Contract Quantity/MT ","Total Amount ",PROVISIONAL INVOICE VALUE,FINAL INVOICE /Balance," POL ZN%",POD ZN%," POL Moisture "," POD Moisture ",LME  PI,LME  POL,LME  POD,"Tracking # ","Due Date  ",LABORATORY REPORT,"  Shipping Docs/ provisional hipping Docs/ provisional ",Shipping Docs/ FINAL Docs,Last edited time
LC VIETNAM 74 Phuc Hung Colorful Metal Joint Stock Company/ELC2500000046/ EXP. 15/4/2025,GQL0381525,Done,633ZN/2024,47PI-2024,"$76,969.50",04ZND/2025,Zinc Concentrate Powder,CMA,"January 26, 2025","March 16, 2025",160,532.111,500,"85,014.24  ","$76,512.82","$8,501.42",22.42,23.64,14.29,19.71,690,690,,DHL NO. 6556892042 DELEIVERD ON 12/2/2025,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250043-R0-AEDMM-25-00024-METALUCK-ZINC-ECUADOR-GQL0381525.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC.pdf,,"May 6, 2025 3:49 PM"
"Final presentaion ",,Done,633ZN/2024,47PI-2024,"$76,969.50",04FZND/2025,Zinc Concentrate Powder,CMA,"January 26, 2025","March 16, 2025",160,532.111,500,"85,014.24",,"$8,501.42",,,,,,,,07/04/2025,,,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Final_invoice_UNDER_LC.pdf,"May 6, 2025 3:49 PM"
"Final setelment ",,Done,633ZN/2024,47PI-2024,"$76,969.50",04FFZND/2025,Zinc Concentrate Powder,CMA,"January 26, 2025","March 16, 2025",163.12,529.45,500,"69,255.04",,"-15,759.20",,,,19.71,,,690,"DHL 4730315892 Estimated Time of Arrival
April 1, 2025 ",,,,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Final_invoice__outside_LC.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/NB29484_-_REPORT.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/NB29484-COA.pdf","May 6, 2025 3:49 PM"
"XIN SHENG ENVIRONMENTAL (M) SDN BHD /79/villingota ",GQL0377222,Done,MTKEAF2024/001,52PI-2024,"$51,768.54",66ZND/2024,Zinc Concentrate Powder,CMA,"December 16, 2024","November 2, 2025",176.5,1195.763,1960,"191,049.25 "," 129,728.25","$-42,666.98",24.93,"22.02 only 10% has been inspected ",09.34,15.06%,2950,2950,2825.16,ahk result on 20-Mar-2025,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML240466-R0-AEDMM-24-00358-Metaluck-Zinc-Ecuador_Villingota-GQL0377222.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/full_set_of_doc.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/SGS_Malaysia_14042025.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FINAL_INVOICE.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/200008091-_Inspection_Report_(43_containers_-_BL_GQL0377222)_-Xin_Sheng_Environmental_Sdn_Bhd.docx_watermark_stamp_signature_digitally_signed.pdf","May 6, 2025 3:49 PM"
XIN SHENG ENVIRONMENTAL (M) SDN BHD /79/Guatemala,247739730,Done,MTKEAF2024/001,53PI-2024,"$12,260.97",01ZND/2025,Zinc Concentrate Powder,Mearsk,"January 7, 2025","March 14, 2025",349.85,250.32,1960,"86,056.10 "," $69,492.32","$3,700.41",34.88 / 01.59,36.56,01.59,4.57,2950,2950,2799.7,"FINAL INSPECTION SENT ",,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250001-R0-AEDMM-25-00001-Metaluck-Zinc-Guatemala.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/full_set_of_doc%201.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/200008951_-_Inspection_Report_(10_Containers_-_BL_247739730)_-_Metaluck_Global_Resources_DMCC..pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/MTKEAF2024-001-Guat_FINAL_CALCULATION.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Final_invoice_(1).pdf","May 6, 2025 3:49 PM"
XIN SHENG ENVIRONMENTAL (M) SDN BHD /79/novacero,GQL0377223,Done,MTKEAF2024/001,54PI-2024,"$24,976.05",69ZND/2024,Zinc Concentrate Powder,CMA,"December 30, 2024","February 24, 2025",202.64,564.41,1960,"108,946.96 ","$78,523.56","$4,407.13",26.42,26.44,04.58,2.14,2950,2950,2825.16,"FINAL INSPECTION SENT ",,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250002-R0-AEDMM-25-00001-Metaluck-Zinc-NOVACERO-LASSO-GQL03772223.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC..pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FINAL__invoice_(2).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/200008436-_Inspection_Report_(20_containers_-_BL_GQL0377223)_-Xin_Sheng_Environmental_Sdn_Bhd.pdf","May 6, 2025 3:49 PM"
"Befesa Zinc Korea Co.,Ltd. / 80 / ELC2400003816/18 container from villingota and 12 cont. from andec monthly genereation ",GQL0379292,Done,,55PI-2024,"$120,337.35",67ZND/2024,ELECTRIC ARC FURNACE DUST (EAFD),CMA,"December 29, 2024","January 22, 2025",157.19,672.66,700,"99526.89 ","$92,560.01","$-10,240.62",average 26.6,23.87,05.71,9.06,3042.8,3042.8,2825.16,"sample will arrive on 7/1, DHL
3086372015 Delivered,
Monday, 13",,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250007-R0-AEDMM-25-00001-Metaluck-Zinc-Ecuador-GQL0379292.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250014-R0-AEDMM-25-00001-Metaluck-Zinc-Ecuador_ANDEC-GQL0379292.pdf",shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%201.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Assay_certificate_67ZND.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Commission__Invoice_-_67FZND.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Final_invoice_(3).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Report_No._P-C-250003_ELECTRIC_ARC_FURNACE_DUST(EAFD)_INSPECTION(_BL_No.GQL0379292).pdf","May 6, 2025 3:49 PM"
SUNPOR TRADING PTE.LTD 81/Ghana/Star Steels to Pakistan,TMA0150423,Done,646ZN/2024,02PI-2025,"$14,330.10",03ZND/2025,Zinc Concentrate Powder,CMA,"January 23, 2025","March 15, 2025",487.09,99.5,100,"47,651.53 ","$33,321.43","$-1,298.25",43.80,43.79,1.29,2.418,"3,062.00",2851.5,"2,799.70","FINAL INSPECTION SENT ",,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML240127-R0-AEDMM-24-00107-METALUCK-Zinc-GHANA-BLACK.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/OBL.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%202.pdf",,"May 6, 2025 3:49 PM"
"Aims Impex Co/  Bangkok Thailand 82/ villingota ",GQL0381418,In progress/ Final,649ZN/2024,56PI-2024,"$85,056.00",07ZND/2025,Zinc Concentrate Powder,CMA,"January 19, 2025","March 22, 2025",123.26,2155.330,2000,"239,283.41 ","$130,299.06",,21.37,,9.8,,"2,997.00","2,884.00",,"50% for inspection ",,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250031-R0-AEDMM-25-00001-METALUCK-ZINC-ECUADOR-GQL0381418.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/full_set_of_doc%202.pdf,,"May 6, 2025 3:49 PM"
XIN SHENG ENVIRONMENTAL (M) SDN BHD/ 83 VILLINGOTA,GQL0380883,Done,MTKEAF2024/002,01PI-2025,"$59,034.30",IT was 02PI-2025 now 02ZND-2025 ON 21/4/2025,Zinc Concentrate Powder,CMA,"January 12, 2025","March 14, 2025",123.49,1346.799,1300,"151,982.60  ","$85,349.17",18457.84,20.93,21.92,8.47,9.97,2950,2950,2799.7,"FINAL INSPECTION SENT ",,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250024-R0-AEDMM-25-00001-Metaluck-Zinc-Ecuador_-BL_NO._GQL0380883.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FINAL_BL_GQL0380883.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/200008949_-_Inspection_Report_(48_contaners_-_BL_GQL0380883)_-_Metaluck_Global_Resources_DMCC..pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Final_invoice.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/MTKEAF2024-002-Andex___FINAL_CALCULATION.pdf","May 6, 2025 3:49 PM"
